"Name (2023) (523)","Team (2023) (523)","Fouls (2023) (523)","BKS (2023) (523)","Pts (2023) (523)","STL (2023) (523)","Assists (2023) (523)","MIN (2023) (523)","Turnovers (2023) (523)","G (2023) (523)","REB (2023) (523)","2FGM (2023) (523)","FGM (2023) (523)","FTM (2023) (523)","3FGM (2023) (523)","DREB (2023) (523)","OREB (2023) (523)","2FGA (2023) (523)","FGA (2023) (523)","FTA (2023) (523)","Status () (524)","Pos () (524)","Pos Cat () (524)","2FG Perc (Calculated)","3FG Perc (Calculated)","FG Perc (Calculated)","Free Kick Perc (Calculated)","MIN / G (Calculated)","FGM / FGA (%) (Calculated)"
"Jae Crowder","Milwaukee Bucks",74,9,312,38,66,69342,23,50,161,56,114,26,58,130,31,104,270,36,"ACT","PF","F",53.84615384615385,34.93975903614458,42.22222222222222,72.22222222222221,1386.84,42.22222222222222
"Kelly Olynyk","Toronto Raptors",226,30,749,74,344,105529,150,78,405,216,276,150,60,299,108,342,497,180,"ACT","PF","F",63.1578947368421,38.70967741935484,55.53319919517102,83.33333333333334,1352.9358974358975,55.53319919517103
"Terry Rozier","Miami Heat",99,21,1166,63,334,122421,106,61,244,293,442,172,149,209,35,588,998,198,"ACT","SG","G",49.82993197278912,36.34146341463415,44.28857715430862,86.86868686868688,2006.9016393442623,44.28857715430862
"Marcus Smart","Memphis Grizzlies",53,5,266,39,85,36288,61,20,49,60,102,43,42,43,6,103,237,56,"ACT","SG","G",58.252427184466015,31.343283582089555,43.037974683544306,76.78571428571429,1814.4,43.037974683544306
"Isaiah Thomas","Phoenix Suns",0,0,8,0,3,1163,0,6,0,1,3,0,2,0,0,6,10,0,"INACT","PG","G",16.666666666666664,50,30,,193.83333333333334,30
"Tim Hardaway Jr.","Detroit Pistons",103,6,1130,42,137,127221,68,79,251,181,392,144,211,229,22,379,976,169,"ACT","SF","F",47.75725593667546,35.34338358458962,40.16393442622951,85.20710059171599,1610.392405063291,40.16393442622951
"Al Horford","Boston Celtics",92,61,551,38,168,104385,47,65,407,106,214,26,108,325,82,161,419,30,"QUES","PF","F",65.83850931677019,41.86046511627907,51.07398568019092,86.66666666666667,1605.923076923077,51.07398568019093
"Mike Muscala","Oklahoma City Thunder",51,13,157,8,36,36010,21,53,124,28,56,17,28,86,39,60,156,25,"INACT","PF","F",46.666666666666664,29.166666666666668,35.8974358974359,68,679.433962264151,35.8974358974359
"Dennis Schroder","Brooklyn Nets",162,17,1112,63,482,149154,151,80,240,265,403,178,138,202,39,559,927,213,"QUES","SG","G",47.40608228980322,37.5,43.47357065803668,83.56807511737088,1864.425,43.47357065803668
"Bojan Bogdanovic","Brooklyn Nets",94,5,842,27,95,88675,98,57,147,176,309,117,133,126,22,347,681,149,"INACT","SG","G",50.720461095100866,39.82035928143712,45.37444933920705,78.52348993288591,1555.701754385965,45.37444933920705
"Brook Lopez","Milwaukee Bucks",189,186,977,43,124,144672,79,79,403,218,366,110,148,287,117,351,755,134,"ACT","C","C",62.10826210826211,36.633663366336634,48.47682119205298,82.08955223880598,1831.2911392405063,48.47682119205298
"Thaddeus Young","Phoenix Suns",45,4,127,20,53,26369,15,33,98,64,65,6,1,53,46,101,108,15,"INACT","C","C",63.366336633663366,14.285714285714285,60.18518518518518,40,799.060606060606,60.18518518518518
"Nicolas Batum","Los Angeles Clippers",109,38,320,48,128,91769,40,60,248,43,116,15,73,178,70,71,256,21,"ACT","PF","F",60.56338028169014,39.45945945945946,45.3125,71.42857142857143,1529.4833333333333,45.3125
"Cody Zeller","Atlanta Hawks",45,5,76,9,39,19182,16,42,112,25,26,23,1,64,48,59,62,38,"INACT","C","C",42.3728813559322,33.33333333333333,41.935483870967744,60.526315789473685,456.7142857142857,41.935483870967744
"Jimmy Butler","Miami Heat",68,17,1246,79,298,122527,102,60,318,336,396,394,60,213,105,648,793,459,"ACT","PF","F",51.85185185185185,41.37931034482759,49.93694829760403,85.83877995642702,2042.1166666666666,49.93694829760403
"Taj Gibson","Charlotte Hornets",31,7,34,3,11,12270,5,20,37,13,15,2,2,25,12,27,37,2,"ACT","C","C",48.148148148148145,20,40.54054054054054,100,613.5,40.54054054054054
"Justin Holiday","Denver Nuggets",69,9,234,36,67,51715,14,57,71,33,88,3,55,62,9,58,194,4,"INACT","SF","F",56.896551724137936,40.44117647058824,45.36082474226804,75,907.280701754386,45.36082474226804
"Doug McDermott","Sacramento Kings",64,2,351,16,70,54269,28,64,59,29,123,11,94,49,10,55,284,19,"ACT","PF","F",52.72727272727272,41.04803493449782,43.309859154929576,57.89473684210527,847.953125,43.309859154929576
"Bobby Portis","Milwaukee Bucks",185,34,1122,68,104,120491,91,82,604,366,466,98,100,463,142,672,918,124,"ACT","C","C",54.46428571428571,40.65040650406504,50.76252723311547,79.03225806451613,1469.4024390243903,50.76252723311547
